sample,response
HG00096,-0.962113313527293
HG00097,0.6225439087529541
HG00099,0.6225439087529541
HG00100,0.6225439087529541
HG00101,0.6225439087529541
HG00102,0.6225439087529541
HG00103,-0.962113313527293
HG00104,-0.962113313527293
HG00106,0.6225439087529541
HG00108,2.207201131033201
HG00109,0.6225439087529541
HG00110,0.6225439087529541
HG00111,2.207201131033201
HG00112,-0.962113313527293
HG00113,-0.962113313527293
HG00114,0.6225439087529541
HG00116,-0.962113313527293
HG00117,0.6225439087529541
HG00118,-0.962113313527293
HG00119,0.6225439087529541
HG00120,-0.962113313527293
HG00121,-0.962113313527293
HG00122,0.6225439087529541
HG00123,0.6225439087529541
HG00124,-0.962113313527293
HG00125,-0.962113313527293
HG00126,0.6225439087529541
HG00127,2.207201131033201
HG00128,-0.962113313527293
HG00129,0.6225439087529541
HG00130,0.6225439087529541
HG00131,-0.962113313527293
HG00133,0.6225439087529541
HG00134,0.6225439087529541
HG00135,0.6225439087529541
HG00136,-0.962113313527293
HG00137,0.6225439087529541
HG00138,2.207201131033201
HG00139,-0.962113313527293
HG00140,-0.962113313527293
HG00141,-0.962113313527293
HG00142,-0.962113313527293
HG00143,-0.962113313527293
HG00146,-0.962113313527293
HG00148,0.6225439087529541
HG00149,0.6225439087529541
HG00150,0.6225439087529541
HG00151,-0.962113313527293
HG00152,0.6225439087529541
HG00154,-0.962113313527293
HG00155,0.6225439087529541
HG00156,2.207201131033201
HG00158,0.6225439087529541
HG00159,-0.962113313527293
HG00160,-0.962113313527293
HG00171,0.6225439087529541
HG00173,-0.962113313527293
HG00174,0.6225439087529541
HG00176,0.6225439087529541
HG00177,-0.962113313527293
HG00178,0.6225439087529541
HG00179,-0.962113313527293
HG00180,0.6225439087529541
HG00182,0.6225439087529541
HG00183,-0.962113313527293
HG00185,0.6225439087529541
HG00186,2.207201131033201
HG00187,-0.962113313527293
HG00188,-0.962113313527293
HG00189,0.6225439087529541
HG00190,0.6225439087529541
HG00231,0.6225439087529541
HG00232,0.6225439087529541
HG00233,-0.962113313527293
HG00234,0.6225439087529541
HG00235,-0.962113313527293
HG00236,-0.962113313527293
HG00237,-0.962113313527293
HG00238,0.6225439087529541
HG00239,-0.962113313527293
HG00240,0.6225439087529541
HG00242,-0.962113313527293
HG00243,0.6225439087529541
HG00244,-0.962113313527293
HG00245,-0.962113313527293
HG00246,0.6225439087529541
HG00247,0.6225439087529541
HG00249,2.207201131033201
HG00250,0.6225439087529541
HG00251,0.6225439087529541
HG00252,0.6225439087529541
HG00253,2.207201131033201
HG00254,-0.962113313527293
HG00255,0.6225439087529541
HG00256,0.6225439087529541
HG00257,-0.962113313527293
HG00258,0.6225439087529541
HG00259,-0.962113313527293
HG00260,0.6225439087529541
HG00261,0.6225439087529541
HG00262,0.6225439087529541
HG00263,-0.962113313527293
HG00264,-0.962113313527293
HG00265,0.6225439087529541
HG00266,-0.962113313527293
HG00267,-0.962113313527293
HG00268,2.207201131033201
HG00269,2.207201131033201
HG00270,-0.962113313527293
HG00271,2.207201131033201
HG00272,0.6225439087529541
HG00273,0.6225439087529541
HG00274,-0.962113313527293
HG00275,0.6225439087529541
HG00276,-0.962113313527293
HG00277,2.207201131033201
HG00278,0.6225439087529541
HG00280,2.207201131033201
HG00281,-0.962113313527293
HG00282,-0.962113313527293
HG00284,2.207201131033201
HG00285,0.6225439087529541
HG00306,-0.962113313527293
HG00309,-0.962113313527293
HG00310,2.207201131033201
HG00311,2.207201131033201
HG00312,0.6225439087529541
HG00313,-0.962113313527293
HG00315,0.6225439087529541
